Name of Clinic,Address,Email,Phone,Services
My FootDr Allsports Podiatry Hawthorne,Brisbane Sports & Exercise Medicine Specialists 87 Riding Road Hawthorne QLD 4171,vhawthorne@allsportspodiatry.com.au,1800366837,Sports podiatry; Digital Gait analysis; Custom Orthotics; Paediatric assessments; Footwear assessments
Allsports Podiatry Indooroopilly,56 Coonan St (Cnr of Keating & Coonan St) Indooroopilly QLD 4068,vindooroopilly@allsportspodiatry.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Seniors Footcare; Resources
My FootDr Indooroopilly,56B Coonan Street Indooroopilly QLD 4068,vindooroopilly@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Paraffin wax bath treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Paraffin Wax Bath Treatment; Resources
My FootDr Ipswich,Physioactive 57 Thorn Street Ipswich QLD 4305,vipswich@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
My FootDr Jindalee,"Allsports Physiotherapy, Shop 28 34 Goggs Road Jindalee QLD 4074",vjindalee@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
Allsports Podiatry Kangaroo Point,"Level 2, Suite 5 22 Baildon Street Kangaroo Point QLD 4169",vkangaroopoint@allsportspodiatry.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
My FootDr Brookside,"Brookside Shopping Centre Shop 118, 159 Osborne Rd Mitchelton QLD 4053",vbrookside@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Resources
Anytime Physio & Podiatry Newstead,Shop B6 / 76 Skyring Terrace Gasworks Plaza Newstead QLD 4006,vinfo@anytimephysio.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare
My FootDr North Lakes,"North Lakes Specialist Medical Centre Unit 204, 6 North Lakes Drive North Lakes QLD 4509",vnorthlakes@myfootdr.com.au,1800366837,"Heel and arch pain (plantar fasciitis); Sports injuries including shin splints,Achilles painandknee pain(anterior knee pain, meniscal injuries, and patella tendinitis; Children’s foot health; Diabetes foot care; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources"
Allsports Podiatry Red Hill,The Red Hill Centre 11/152 Musgrave Road Red Hill QLD 4059,vredhill@allsportspodiatry.com.au,1800366837,Sports Podiatry; Video Gait Assessment; Biomechanical Assessments; 3D Printed Orthotics; Custom Sports Orthotics; Paediatric Assessments; Nail Surgery and General Podiatry Care; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
My FootDr Red Hill,Arthur House 47 Arthur Tce Red Hill QLD 4059,vredhill@myfootdr.com.au,1800366837,NA
My FootDr Redcliffe,Dolphins Central Shopping Centre 10/110 Ashmole Rd Redcliffe QLD 4020,vredcliffe@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
My FootDr Shailer Park,6/44 Bryants Road Shailer Park QLD 4128,vshailerpark@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Cryotherapy For Plantar Warts; Resources
My FootDr Stafford,Shop 93A Stafford City Shopping Centre 400 Stafford Rd Stafford QLD 4053,vstafford@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
Allsports Podiatry The Gap,970 Waterworks Rd The Gap QLD 4061,vthegap@allsportspodiatry.com.au,1800366837,Sports Podiatry; Video Gait Assessment; Biomechanical Assessments; 3D Printed Orthotics; Custom Sports Orthotics; Paediatric Assessments; Nail Surgery and General Podiatry Care; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
Allsports Podiatry Toowong,"Ground Floor, 80 Jephson Street Toowong QLD 4066",vtoowong@allsportspodiatry.com.au,1800366837,Sports Podiatry; Video Gait Assessment; Biomechanical Assessments; 3D Printed Orthotics; Custom Sports Orthotics; Paediatric Assessments; Nail Surgery and General Podiatry Care; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
Advanced Foot Care Bargara,8/699 Bargara Road Bargara QLD 4670,vbundaberg@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; National Disability Insurance Scheme; Seniors Footcare; Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Resources
Advanced Foot Care Bundaberg,10/36 Quay St Bundaberg Central QLD 4670,vbundaberg@myfootdr.com.au,1800366837,Sports podiatry; Digital Gait analysis; Custom Orthotics; Paediatric assessments; Footwear assessments; General podiatry care; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Resources
Advanced Foot Care Hervey Bay,1/6 Torquay Rd Pialba QLD 4655,vhervey.bay@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Footwear; Resources
My FootDr Mackay,153 Victoria St Mackay QLD 4740,vmackay@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Shockwave therapy; Footwear; Paraffin wax bath treatment; Cryotherapy for Plantar Warts; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
Advanced Foot Care Monto,35 Flinders Street Monto QLD 4630,vinfo@advancedfootcare.com.au,1800366837,NA
My FootDr Rockhampton,8/235-239 Musgrave St North Rockhampton QLD 4701,vrockhampton@myfootdr.com.au,1800366837,"Heel & Arch Pain; Fungal & Ingrown Toenails; Shin Splints; Leg & Ankle Pain; Bunions, Corns & Calluses; Children’s Foot Health; Custom Foot Orthotics; Biomechanical Assessment; Video Gait Analysis; Shockwave Treatment; Diabetes Foot Screenings; Fungal Nail Laser Treatment; Ingrown Nail Surgery; Clinical Podiatry; Health Funds; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Cryotherapy For Plantar Warts; Resources"
My FootDr Yeppoon,61 Queen St Yeppoon QLD 4703,vyeppoon@myfootdr.com.au,1800366837,Custom Foot Orthotics; Biomechanical Assessment; Video Gait Analysis; Shockwave Treatment; Diabetes Foot Screenings; Fungal Nail Laser Treatment; Ingrown Nail Surgery; Clinical Podiatry; Health Funds; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
My FootDr Allsports Podiatry Parkwood,Shop 13/122 Napper Rd Parkwood QLD 4214,vparkwood@allsportspodiatry.com.au,1800366837,NA
Back In Motion Podiatry Burleigh Waters,"Shop E, 1/6-8 Classic Way Burleigh Waters QLD 4220",vburleighwaters.podiatry@backinmotion.com.au,1800366837,Surgical Podiatry; Supramalleolar Orthotics (SMOs); Clinical Podiatry; Custom Foot Orthotics; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); Seniors Footcare; Shockwave Therapy; Ankle-Foot Orthoses
My FootDr Hope Island,"Shop 5, 10 Santa Barbara Road Hope Island QLD 4212",vhopeisland@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Shockwave therapy; Footwear; Cryotherapy for plantar warts; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
Allsports Podiatry Pimpama,2 Nexus Drive Tenancy D1.4 Pimpama QLD 4209,vPimpama@allsportspodiatry.com.au,1800366837,NA
Physiologic Podiatry Robina,334 Scottsdale Drive Robina QLD 4226,vrobina@physiologic.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
NQ Foot & Ankle Centre Cowboys Centre of Excellence,North Queensland Cowboys Centre of Excellence 26 Graham Murray Place Railway Estate QLD 4810,vkirwan@nqfootandankle.com.au,1800366837,Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Shockwave Therapy
NQ Foot & Ankle Centre Kirwan,NQ Foot & Ankle Centre 93 Thuringowa Drive Kirwan QLD 4817,vkirwan@nqfootandankle.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources
My FootDr Townsville,140 Ross River Road Mundingburra QLD 4812,vtownsville@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
My FootDr Beerwah,58 Simpson Street Beerwah QLD 4519,vbeerwah@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; Custom Footwear; National Disability Insurance Scheme; Seniors Footcare; Surgical Podiatry; Supramalleolar Orthotics (SMOs); Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Resources
Allsports Podiatry Noosa,"Unit 4, 17 Sunshine Beach Rd Noosa QLD 4567",vnoosa@allsportspodiatry.com.au,1800366837,General podiatry care; Ingrown toenail treatment; Custom foot orthotics; Video gait analysis; Diabetic footcare; Seniors footcare; Paediatric assessments
My FootDr Ispahan,315 Macquarie Street Hobart TAS 7000,vispahan@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cryotherapy For Plantar Warts; Resources
Back In Motion Podiatry Bacchus Marsh,118 Gisborne Rd Bacchus Marsh VIC 3340,vbacchusmarsh@backinmotion.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; SWIFT Microwave Wart Therapy
Back In Motion Podiatry Melton,386/388 High St Melton VIC 3337,vmelton@backinmotion.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; SWIFT Microwave Wart Therapy
My FootDr Ballarat,34 Armstrong St N Ballarat Central VIC 3350,vballarat@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetic Footcare; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Shockwave Therapy; Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Resources
My FootDr Boronia,12 Floriston Rd Boronia VIC 3155,vboronia@myfootdr.com.au,1800366837,Clinical Podiatry; Custom Foot Orthotics; Video Gait Analysis; Diabetic Footcare; National Disability Insurance Scheme; CAM Walker (Moon Boot); Seniors Footcare; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Bracenfix™ - Ingrown Toenail Treatment; Health Funds; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); Cosmetic Nail Restoration; Shockwave Therapy; Resources
The Foot and Ankle Clinic Podiatry Chadstone,79 Chadstone Road Malvern East VIC 3145,vchadstone@thefootandankleclinic.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Paraffin wax bath treatment; Cryotherapy for plantar warts; Verruca Surgery; Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
My FootDr Cranbourne,26 William St Cranbourne VIC 3977,vcranbourne@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Paraffin wax bath treatment; Cryotherapy for plantar warts; Clinical Podiatry; Health Funds; Diabetes and Footcare; National Disability Insurance Scheme (NDIS)
The Foot and Ankle Clinic Podiatry East Bentleigh,951 Centre Road East Bentleigh VIC 3165,veastbentleigh@thefootandankleclinic.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Fungal nail infection laser treatment; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Paraffin wax bath treatment; Cryotherapy for plantar warts; Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
The Foot and Ankle Clinic Moe,11 Haigh Street Moe VIC 3825,vmoe@thefootandankleclinic.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
The Foot and Ankle Clinic Sale,195 Raymond Street Sale VIC 3850,vsale@thefootandankleclinic.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; Resources
The Foot and Ankle Clinic Traralgon,39 Grey Street Traralgon VIC 3844,vtraralgon@thefootandankleclinic.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Footwear; Paraffin Wax Bath Treatment; Cryotherapy For Plantar Warts; SWIFT Microwave Wart Therapy; Resources
My FootDr Wantirna,Shop 9a 348 Mountain Hwy Wantirna VIC 3152,vbayswater.podiatry@backinmotion.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; Supramalleolar Orthotics (SMOs); Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cam Walker - (Moon Boot); Cryotherapy For Plantar Warts; Resources; Ankle-Foot Orthoses; Richie Brace
Border Podiatry Wodonga,5/91 Hume St Wodonga VIC 3690,vwodonga@myfootdr.com.au,1800366837,Bracenfix™ - Ingrown Toenail Treatment; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources
Back In Motion Podiatry Como,Unit 3 / 460 Canning Highway Como WA 6152,vcomo@backinmotion.com.au,1800366837,Clinical Podiatry; Shockwave Therapy
My FootDr Warwick,"Shop SP039, Warwick Grove Shopping Centre Cnr Beach and Erindale Road Warwick WA 6024",vwarwick@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Footwear; Resources
My FootDr Wembley Downs,136B Weaponess Rd Wembley Downs WA 6019,vwembleydowns@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
My FootDr Devonport,26 William St Devonport TAS 7310,vdevonport@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; Custom footwear; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Cosmetic nail restoration; Shockwave therapy; Footwear; Cryotherapy for plantar warts; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Cosmetic Nail Restoration; Shockwave Therapy; Cryotherapy For Plantar Warts; Resources
Allsports Podiatry Forest Lake,The Tower Medical Centre 241 Forest Lake Boulevard Forest Lake QLD 4078,vforestlake@allsportspodiatry.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Resources
My FootDr Mt Gravatt,Level 2 / 1437 Logan Road (enter off Gowrie St) Mount Gravatt QLD 4122,vmtgravatt@myfootdr.com.au,1800366837,Clinical podiatry; Custom foot orthotics; Video gait analysis; Diabetic footcare; Custom footwear; Ankle-Foot-Orthoses; Supramalleolar Orthotics; National Disability Insurance Scheme; CAM walker (moon boot); Seniors footcare; Shockwave therapy; Footwear; Supramalleolar Orthotics (SMOs); Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Fungal Nail Infection Laser Treatment; Diabetes and Footcare; Custom Footwear; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Resources; Ankle-Foot Orthoses
My FootDr Toowoomba,"Shop 52, Clifford Gardens Shopping Centre Corner James St & Anzac Ave Toowoomba City QLD 4350",vtoowoomba@myfootdr.com.au,1800366837,Clinical Podiatry; Health Funds; Custom Foot Orthotics; Video Gait Analysis; Diabetes and Footcare; National Disability Insurance Scheme (NDIS); CAM Walker (Moon Boot); Shockwave Therapy; Footwear; Resources
